key_point_id,topic,stance,key_point
177,We should end affirmative action,-1,affirmative action should not be ended because discrimination against people from mnority backgrounds still exists
178,We should end affirmative action,-1,affirmative action helps with employment equity.
179,We should end affirmative action,-1,affirmatice action levels the playing field for marginalized sectors of society
180,We should end affirmative action,-1,racism and gender inequality are still pervasive; affirmative action mitigates some of their effects.
181,We should end affirmative action,-1,affirmative action should be continued as a way of correcting discrimination of the past
182,We should end affirmative action,1,affirmative action should be ended as it can favour the minorities and promote reverse discrimination
183,We should end affirmative action,1,affirmative action is no longer needed when everyone has a fair opportunity.
184,We should end affirmative action,1,Affirmative action undermines the success of every disadvantaged person because it makes everyone question wether he really deserved it.
185,We should end affirmative action,1,"affirmative action is basically reverse racism, and racism of any type is wrong."
186,We should end affirmative action,1,affirmative action denies people with the best abilities succeeding due to merit alone and hence should be ended.
187,We should end mandatory retirement,-1,mandatory retirement allows workplaces to free up jobs for younger workers
188,We should end mandatory retirement,-1,"mandatory retirement can force older, less-resilient workers out of the workforce, replacing them with younger, better workers."
189,We should end mandatory retirement,-1,Mandatory retirement ensures that at least some positions open up in a profession on a predictable basis.
190,We should end mandatory retirement,-1,mandatory retirement is needed to keep businesses new and fresh with innovation from the younger generation.
191,We should end mandatory retirement,-1,"Mandatory retirement allows younger, cheaper workers to take the place of older, more expensive employees."
192,We should end mandatory retirement,1,Ending mandatory retirement sends the message that workers of all ages have inherent worth.
193,We should end mandatory retirement,1,mandatory retirement is not fair for those who are actually more than capable to carry on with their jobs
194,We should end mandatory retirement,1,Mandatory retirement forces people who are still excellent at their jobs to quit working long before they are ready.
195,We should end mandatory retirement,1,people are living healthier longer now and forcing retirement based on arbitrary guidelines like age is a bad idea.
196,We should end mandatory retirement,1,Forcing workers out of their position is unethical because it is likely to make them destitute and possibly homeless.
197,We should fight for the abolition of nuclear weapons,-1,Nuclear weapons provide a deterrent for starting a major conflict.
198,We should fight for the abolition of nuclear weapons,-1,"the united states, at least, needs nuclear weapons for protection in order to deter other countries from attacking."
199,We should fight for the abolition of nuclear weapons,-1,nuclear weapons are a deterent to mutual destruction
200,We should fight for the abolition of nuclear weapons,-1,nuclear weapons are a necessary evil that have kept the peace in uncertain times
201,We should fight for the abolition of nuclear weapons,-1,nuclear weapons are an effective threat that have prevented world war for 70 years
202,We should fight for the abolition of nuclear weapons,1,any weapon that can destroy the world should be eliminated
203,We should fight for the abolition of nuclear weapons,1,Nuclear weapons put everyone at risk and protect no one; there is no reason to keep them.
204,We should fight for the abolition of nuclear weapons,1,Testing of nuclear weapons causes pollution and destruction of the environment.
205,We should fight for the abolition of nuclear weapons,1,Nuclear weapons do not keep the peace; they breed fear and mistrust among nations.
206,We should fight for the abolition of nuclear weapons,1,nuclear weapons are one of the biggest threats facing humanity today.
207,We should fight urbanization,-1,urbanization allows populations easier access to food and services that improve quality of life.
208,We should fight urbanization,-1,urbanization provides housing and jobs to areas that need it.
209,We should fight urbanization,-1,urbanization of areas has a positive effect on the growth and productivity of citizens.
210,We should fight urbanization,-1,"people need houses, we need industry to give people a living and we need places for shopping and leisure."
211,We should fight urbanization,-1,"urbanization allows for more employment opportunities, greater housing options as well as access to employment."
212,We should fight urbanization,1,Urbanization destroys nature and increases pollution.
213,We should fight urbanization,1,urbanization ghettos up an area and ruins it making it too populated and more crimes happen
214,We should fight urbanization,1,urbanization is destroying natural habitats for animals leading them to decrease populations.
215,We should fight urbanization,1,"urbanization contributes to overcrowding, poverty and environmental degredation."
216,We should fight urbanization,1,urbanization is bad for local communities.
217,We should introduce compulsory voting,-1,part of living in a free nation is having the freedom not to particpate in the election process
218,We should introduce compulsory voting,-1,"people have the right to abstain from voting, especially among the disabled"
219,We should introduce compulsory voting,-1,a vote essentially supports a politician's future actions.
220,We should introduce compulsory voting,-1,"some people don't care about voting and if required would just pick random choices, which could have disastrous consequences."
221,We should introduce compulsory voting,-1,compulsory voting would only cause uneducated votes to be cast and not be a real benefit to the country.
222,We should introduce compulsory voting,1,Compulsory voting would make it certain that everyone would vote in every election.
223,We should introduce compulsory voting,1,Compulsory voting should be introduced to ensure that the results of elections are completely representative of the population.
224,We should introduce compulsory voting,1,ensuring everyone has a voice in our elections is critical to a functioning democracy
225,We should introduce compulsory voting,1,compulsory voting would be an effective antidote to voter suppression.
226,We should introduce compulsory voting,1,compulsory voting allows all citizens the chance to make a difference
227,We should legalize cannabis,-1,cannabis provides an introduction to more addictive drugs and can cause mental illness and so should not be legalized
228,We should legalize cannabis,-1,cannabis has been shown to cause mental problems in teen users and shouldn't be legal.
229,We should legalize cannabis,-1,legalizing cannabis will just pave the way for other drugs to be legalized and it should not be allowed.
230,We should legalize cannabis,-1,"cannabis has been shown to negatively affect the brain, causing psychosis and paranoia and should continue to be controlled"
231,We should legalize cannabis,-1,cannabis carries carcinogenic risks; government should minimize risks.
232,We should legalize cannabis,1,cannabis is shown to naturally help with certain medical conditions and it's much safer than alcohol for recreational use.
233,We should legalize cannabis,1,"alcohol and tobacco cause way more damage to society than cannabis does, yet they are still legal."
234,We should legalize cannabis,1,so many people could use cannabis for pain relief that to legalize it is the only sensible option.
235,We should legalize cannabis,1,"cannabis can help cure people with several problems, legalizing it will provide people with a better quality product"
236,We should legalize cannabis,1,"given the now proven medical benefits, the legalisation of cannabis is now inevitable"
237,We should legalize prostitution,-1,prostitution is an inherently coercive and damaging profession that endangers women.
238,We should legalize prostitution,-1,prostitution is a dirty thing that allows for the possibility of mass spreading of disease.
239,We should legalize prostitution,-1,"prostitution is linked to many rapes, molestation and murders of young women."
240,We should legalize prostitution,-1,prostitution will cause a more dangerous environment for those trying to escape and will make sex trafficking more common
241,We should legalize prostitution,-1,legalizing prostitution would erode moral values and reduce the safety of women so it should never be legal.
242,We should legalize prostitution,1,"prostitutes will now have legal protection against abuse, trafficking, and diseases"
243,We should legalize prostitution,1,legalising prostitution might lead to better conditions and regulations to protect women.
244,We should legalize prostitution,1,prostitution happens; legalizing it would make it safer
245,We should legalize prostitution,1,"by leagalizing prostitution, we remove most of the stigma associated with that lifestyle and make it safer."
246,We should legalize prostitution,1,legalizing prostitution ensures the workers to have adequate health check ups and protection from harm.
247,We should legalize sex selection,-1,sex selection will have troublesome effects on gender disparity.
248,We should legalize sex selection,-1,sex selection interferes with the natural balance of nature and justifies sexist choices.
249,We should legalize sex selection,-1,sex selection is immoral and favors one sex over another.
250,We should legalize sex selection,-1,sex selection is against nature and messes up the biological makings of the child for future harm
251,We should legalize sex selection,-1,not enough girls will be selected by sexist cultures which will result in social strain in future years.
252,We should legalize sex selection,1,sex selection allows them to have the children they actually want which generally means better care for the child.
253,We should legalize sex selection,1,the right to bodily autonomy permits mothers to have abortions for sex selective purposes
254,We should legalize sex selection,1,sex selection is a legitimate way to ensure that the population is balanced between men and women.
255,We should legalize sex selection,1,if this doesn't harm the child and they grow up healthy it hurts nobody by doing this.
256,We should legalize sex selection,1,legalizing sex selection will help reduce the number of children who suffer from sex-linked genetic diseases
257,We should prohibit flag burning,-1,flag burning is a freedom of speech and as such is protected under the constitution.
258,We should prohibit flag burning,-1,a flag is mass produced and has no added commercial value other than the material it is made with
259,We should prohibit flag burning,-1,Flag burning is a valid protest method that doesn't harm anyone.
260,We should prohibit flag burning,-1,flag burning is only an expression of dissatiafaction
261,We should prohibit flag burning,-1,flag burning is better than hurting the people of a nation physically.
262,We should prohibit flag burning,1,flag burning is unpatriotic and disrespectul to a country and its laws.
263,We should prohibit flag burning,1,burning the national flag can incite hatred and therefore it should be banned.
264,We should prohibit flag burning,1,flag burning is an offensive action against those who have risked their lives or died defending that flag.
265,We should prohibit flag burning,1,flag burning is disruptive to civil peace.
266,We should prohibit flag burning,1,flag burning an act of arson against a national treasure
267,We should prohibit women in combat,-1,"women are just as capable as men of being in combat, and shouldn't be judged based on gender."
268,We should prohibit women in combat,-1,any individual who meets the necessary fitness levels will be able to be of use in combat.
269,We should prohibit women in combat,-1,women have shown the strength and ability to be able to fight alongside men.
270,We should prohibit women in combat,-1,women have the knowledge and abilities to be able to contribute in any combat situation.
271,We should prohibit women in combat,-1,women are more level-headed than men and would be an asset in a combat role
272,We should prohibit women in combat,1,"as a whole, women are more emotional and may not be able to handle combat emotionally"
273,We should prohibit women in combat,1,women are not physically designed for combat and are a drag on their combat allies.
274,We should prohibit women in combat,1,women are smaller and weaker than men and would be more susceptible to capture.
275,We should prohibit women in combat,1,women are perceived to be the weaker sex and could leave us at a disadvantage.
276,We should prohibit women in combat,1,women should be prohibited from combat because they are overmatched on average by the men they are fighting.
277,We should subsidize journalism,-1,"if subsidised by the government then they might be biased, afraid of losing the money"
278,We should subsidize journalism,-1,journalism should be free from bias and present facts no matter what.
279,We should subsidize journalism,-1,subsidizing journalism would give the government control over it
280,We should subsidize journalism,-1,subsidizing journalism causes a glut of useless items that distract from the most important stories affecting our nation.
281,We should subsidize journalism,-1,subsidizing journalism only succeeds in propping up weak and poorly run organizations which otherwise would soon fail
282,We should subsidize journalism,1,"journalism is necessary to a free, democratic society and so we must support it by subsidizing the news."
283,We should subsidize journalism,1,journalism should be funded by the government as it promotes learning and worldwide communication.
284,We should subsidize journalism,1,subsidising journalism would enable more people to broadcast their viewpoint and include more opinions in mainstream journalism.
285,We should subsidize journalism,1,journalism is important to ensure that the population is informed about important issues.
286,We should subsidize journalism,1,More resources leads to better-quality journalism overall.
287,We should subsidize space exploration,-1,the costs of space exploration are best left to private enterprise since there are better uses for public money
288,We should subsidize space exploration,-1,space exploration is too costly and there aren't enough tangible benefits to justify subsidization
289,We should subsidize space exploration,-1,space exploration is a waste of time and money and we should focus on sustaining earth
290,We should subsidize space exploration,-1,if there's any danger to our world then maybe it would be a good idea but there isn't.
291,We should subsidize space exploration,-1,space exploration is an expensive vanity project and subsidization could be abused by military and private interests.
292,We should subsidize space exploration,1,space exploration can lead to new discoveries and might save planet earth in the future
293,We should subsidize space exploration,1,Space exploration has a huge part in the future progress of humanity.
294,We should subsidize space exploration,1,"space exploration can provide valuable scientific information, and should be subsidized to ensure its continuation"
295,We should subsidize space exploration,1,subsidized space exploration is essential as it helps with wider scientific development
296,We should subsidize space exploration,1,space exploration is incredibly important for future scientific advancements and must be funded properly.
297,We should subsidize vocational education,-1,if we subsidize vocational education it would be unfair to those who wish to enter other fields.
298,We should subsidize vocational education,-1,"subsidies are unjust unless they are beneficial to all, not just a select few in certain fields."
299,We should subsidize vocational education,-1,"higher education, such as vocational education, should be paid for only by those partaking in it."
300,We should subsidize vocational education,-1,most companies provide training to employees and this is their duty.
301,We should subsidize vocational education,-1,vocational skills such as hairdressing and baking should not be supported by public funds.
302,We should subsidize vocational education,1,vocational education provides valuable training that results in lucrative careers for those that may not be suited for college.
303,We should subsidize vocational education,1,vocational education should be subsidized to allow a skilled workforce to develop and grow.
304,We should subsidize vocational education,1,Many of the careers offered at vocational schools provide essential services to the community.
305,We should subsidize vocational education,1,"vocational jobs play a vital role in society, but not as many students are pursuing these careers."
306,We should subsidize vocational education,1,"vocational education is necessary for a country to function, and most of the jobs pay well."
